"SN","Source","Region","Country","Country_ID","ISO2","ISO3","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","LocationName","Longitude","Latitude","LocationType","Georeliability","Year_MDA1","N_MDA","Baseline_Prev","SurveyYear","Period","SurveyMonth","Passage","Method_0","Method_1","Method_2","Age_start","Age_end","Examined","Positive","Prevalence","CMFL","Vector_spp","Perc_PoolPositive","SourceOrigen","Funding","Composite_IU_ID"
"16119","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA NORTH","21536","Builsa North","21536","KADEMA-GADDEM","-1.23031","10.594670000000001","Village","1",null,null,null,"1986","Before 2001","February","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"128.0","15.0","0.1171875",null,"",null,"APOC","APOC Trust Fund","AGHA0216721536"
"16120","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA NORTH","21536","Builsa North","21536","KADEMA-GADDEM","-1.23031","10.594670000000001","Village","1",null,null,null,"1989","Before 2001","January","5","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"133.0","3.0","2.2556390999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216721536"
"16121","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA NORTH","21536","Builsa North","21536","KADEMA-GADDEM","-1.23031","10.594670000000001","Village","1",null,null,null,"1999","Before 2001","November","6","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"141.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721536"
"16122","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","SENE EAST","21427","Sene East","21427","KAGBEYA","-0.29999999999999999","7.3499999999999996","Village","1",null,null,null,"1980","Before 2001","January","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"75.0","4.0","5.3333332999999997E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221427"
"16123","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA WEST","21554","Wa West","21554","KAKALAPARI","-2.7206199999999998","9.8802800000000008","Village","1",null,null,null,"1990","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"217.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821554"
"16124","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA WEST","21554","Wa West","21554","KAKALAPARI","-2.7206199999999998","9.8802800000000008","Village","1",null,null,null,"1996","Before 2001","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"188.0","2.0","1.0638297999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821554"
"16125","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","SAWLA-TUNA-KALBA","21521","Sawla-Tuna-Kalba","21521","Kalba (STK)","-2.6606999999999998","9.5555599999999998","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"127.0","2.0","1.5748030999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621521"
"16126","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","KANDIA","-2.1000000000000001","9.9600000000000009","Village","1",null,null,null,"1992","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"248.0","9.0","3.6290322999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16127","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","KANEASE","0.34999999999999998","7.6699999999999999","Village","1",null,null,null,"1990","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"171.0","128.0","0.74853801200000003",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"16128","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","KANEASE","0.34999999999999998","7.6699999999999999","Village","1",null,null,null,"2000","Before 2001","April","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"162.0","10.0","6.1728394999999998E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"16129","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","LAMBUSSIE KARNI","21546","Lambussie Karni","21546","KANGWO","-2.6634500000000001","10.839320000000001","Village","1",null,null,null,"1996","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"251.0","4.0","0.015936255",null,"",null,"APOC","APOC Trust Fund","AGHA0216821546"
"16130","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA WEST","21554","Wa West","21554","Kantu","-2.71896","9.8440200000000004","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"106.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821554"
"16131","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"KANTU",null,null,"Village","99",null,null,null,"1997","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"209.0","1.0","0.004784689",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"16132","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","Katafor Junction","0.35638890000000001","7.8322778","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"23.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"16133","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","KATANGA","0.33826719999999999","7.653219","Village","1",null,null,null,"1992","Before 2001","April","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"280.0","179.0","0.639285714",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"16134","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","KATANGA","0.33826719999999999","7.653219","Village","1",null,null,null,"2002","2001 - 2005","December","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"166.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"16135","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"Katanga Tornu","0.27413890000000002","7.6487221999999999","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"259.0","8.0","0.030888031",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"16136","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","KATANGA_TORNU","0.28000000000000003","7.6799999999999997","Village","1",null,null,null,"1992","Before 2001","April","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"197.0","90.0","0.45685279200000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"16137","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","KATANGA_TORNU","0.28000000000000003","7.6799999999999997","Village","1",null,null,null,"2001","2001 - 2005","April","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"147.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"16138","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","KATANGA_TORNU","0.28000000000000003","7.6799999999999997","Village","1",null,null,null,"2002","2001 - 2005","December","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"64.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"16139","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","KATUA","-1.9281216999999999","9.9847944000000002","Village","1",null,null,null,"1992","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"253.0","22.0","8.6956521999999994E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16140","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","KATUA","-1.9281216999999999","9.9847944000000002","Village","1",null,null,null,"1999","Before 2001","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"138.0","6.0","4.3478260999999997E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16141","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","Kawenia","-1.3963399999999999","10.83381","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"59.0","2.0","3.3898304999999997E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16142","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","Kayaro Baliu","-1.3286","10.97072","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"108.0","4.0","3.7037037000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16143","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","Kayoro Akania/Banyiu","-1.34389","10.96711","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"144.0","13.0","9.0277778000000003E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16144","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","Kayoro Anio/Adongo","-1.33826","10.975540000000001","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"205.0","1.0","4.8780489999999998E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16145","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","Kayoro Baliu","-1.3289167","10.9709333","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"117.0","2.0","0.017094017",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16146","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU","-1.3100000000000001","10.98","Village","1",null,null,null,"2007","2006 - 2010","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"116.0","2.0","1.7241379000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16147","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU (DETAIL","-1.3100000000000001","10.98","Village","1",null,null,null,"1975","Before 2001","December","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"305.0","197.0","0.64590163899999997",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16148","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU (DETAIL","-1.3100000000000001","10.98","Village","1",null,null,null,"1980","Before 2001","December","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"196.0","126.0","0.64285714299999996",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16149","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU (DETAIL","-1.3100000000000001","10.98","Village","1",null,null,null,"1983","Before 2001","November","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"291.0","144.0","0.49484536099999998",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16150","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU (DETAIL","-1.3100000000000001","10.98","Village","1",null,null,null,"1985","Before 2001","October","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"408.0","147.0","0.360294118",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16151","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU (DETAIL","-1.3100000000000001","10.98","Village","1",null,null,null,"1987","Before 2001","October","5","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"369.0","75.0","0.203252033",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16152","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU (DETAIL","-1.3100000000000001","10.98","Village","1",null,null,null,"1989","Before 2001","May","6","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"284.0","33.0","0.116197183",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16153","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU (DETAIL","-1.3100000000000001","10.98","Village","1",null,null,null,"1990","Before 2001","October","7","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"333.0","28.0","8.4084084000000003E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16154","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU (DETAIL","-1.3100000000000001","10.98","Village","1",null,null,null,"1992","Before 2001","January","8","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"208.0","16.0","7.6923077000000006E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16155","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU (DETAIL","-1.3100000000000001","10.98","Village","1",null,null,null,"1996","Before 2001","March","9","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"318.0","38.0","0.119496855",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16156","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU (DETAIL","-1.3100000000000001","10.98","Village","1",null,null,null,"1999","Before 2001","October","10","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"161.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16157","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO BALIU (DETAIL","-1.3100000000000001","10.98","Village","1",null,null,null,"2000","Before 2001","December","11","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"274.0","43.0","0.156934307",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16158","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","Kayoro Saboro","-1.32605","10.952640000000001","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"87.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16159","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO VILLAGE","-1.3100000000000001","10.98","Village","1",null,null,null,"1990","Before 2001","October","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"925.0","88.0","9.5135134999999996E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16160","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO VILLAGE","-1.3100000000000001","10.98","Village","1",null,null,null,"1992","Before 2001","January","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"454.0","43.0","9.4713655999999993E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16161","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO VILLAGE","-1.3100000000000001","10.98","Village","1",null,null,null,"1997","Before 2001","September","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"85.0","27.0","0.31764705900000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16162","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","KAYORO VILLAGE","-1.3100000000000001","10.98","Village","1",null,null,null,"1998","Before 2001","May","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"275.0","60.0","0.218181818",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16163","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","Kayoro Wuru","-1.31928","10.92648","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"137.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
